date,CO,NO,NO2,O3,PM10,PM2.5,SO2,SR,TOUT,WSR,WDR
2022-01-01 00:00:00,3.28,29.1,46.5,5.0,232.0,225.0,5.4,0.0,19.11,3.4,287.0
2022-01-01 01:00:00,3.28,29.1,46.5,5.0,232.0,225.0,5.4,0.0,19.11,3.4,287.0
2022-01-01 02:00:00,3.25,38.7,42.0,5.0,234.0,181.0,5.3,0.0,18.5,1.4,333.0
2022-01-01 03:00:00,3.02,39.1,40.4,4.0,183.0,140.0,5.4,0.0,18.19,3.3,273.0
2022-01-01 04:00:00,2.73,37.2,39.0,3.0,137.0,91.0,5.9,0.0,18.78,1.6,315.0
2022-01-01 05:00:00,2.65,32.4,35.2,4.0,99.0,78.0,5.8,0.0,18.79,1.6,277.0
2022-01-01 06:00:00,1.98,16.0,29.7,4.0,88.0,49.0,5.8,0.0,20.02,1.5,256.0
2022-01-01 07:00:00,1.64,15.8,22.2,4.0,62.0,31.0,4.8,0.0,21.22,1.6,217.0
2022-01-01 08:00:00,1.25,8.5,13.0,10.0,65.0,13.0,4.9,0.0,23.58,6.0,258.0
2022-01-01 09:00:00,1.09,6.0,6.2,19.0,51.0,7.0,5.9,0.07,26.45,7.9,287.0
2022-01-01 10:00:00,1.08,6.6,6.0,22.0,38.0,11.0,4.5,0.26,28.81,7.5,291.0
2022-01-01 11:00:00,1.01,5.4,4.3,26.0,73.0,23.0,3.6,0.4,30.09,19.2,298.0
2022-01-01 12:00:00,1.0,5.9,4.8,28.0,277.0,14.0,3.3,0.51,31.39,20.2,296.0
2022-01-01 13:00:00,1.02,5.0,5.0,34.0,122.0,11.0,3.1,0.55,32.54,19.9,298.0
2022-01-01 14:00:00,0.99,4.7,5.1,36.0,117.0,9.0,3.0,0.55,32.71,21.8,300.0
2022-01-01 15:00:00,0.99,4.8,5.8,38.0,85.0,8.0,2.9,0.47,32.93,21.1,295.0
2022-01-01 16:00:00,1.03,4.6,6.1,38.0,72.0,6.0,3.0,0.35,33.08,16.4,293.0
2022-01-01 17:00:00,1.04,4.3,6.9,37.0,34.0,7.0,4.0,0.19,32.59,13.8,293.0
2022-01-01 18:00:00,1.14,6.8,13.5,30.0,26.0,12.0,3.4,0.02,30.47,10.6,280.0
2022-01-01 19:00:00,1.27,6.8,18.7,23.0,33.0,17.0,3.1,0.0,28.37,8.0,281.0
2022-01-01 20:00:00,1.8,11.2,28.3,12.0,46.0,19.0,3.5,0.0,27.15,4.8,276.0
2022-01-01 21:00:00,1.92,23.7,33.8,6.0,38.0,34.0,3.8,0.0,25.06,3.4,272.0
2022-01-01 22:00:00,2.3,56.5,35.1,4.0,70.0,49.0,5.1,0.0,23.53,2.6,254.0
2022-01-01 23:00:00,2.38,60.4,34.2,4.0,80.0,41.0,7.0,0.0,22.74,1.0,268.0
2022-01-02 00:00:00,2.45,58.8,31.0,3.0,69.0,36.0,5.7,0.0,21.36,2.1,268.0
2022-01-02 01:00:00,1.79,38.2,30.5,3.0,73.0,23.0,5.9,0.0,20.7,2.9,265.0
2022-01-02 02:00:00,1.57,18.9,27.8,4.0,48.0,14.0,5.8,0.0,20.6,2.8,245.0
2022-01-02 03:00:00,1.34,7.5,23.6,6.0,42.0,11.0,5.2,0.0,20.13,1.7,277.0
2022-01-02 04:00:00,1.14,5.5,19.4,15.0,34.0,9.0,4.2,0.0,22.25,6.5,277.0
2022-01-02 05:00:00,1.06,4.8,7.2,31.0,28.0,20.0,3.9,0.0,20.39,15.4,113.0
2022-01-02 06:00:00,1.0,3.9,5.1,34.0,194.0,15.0,4.0,0.0,18.71,16.5,117.0
2022-01-02 07:00:00,0.99,3.6,5.4,33.0,115.0,10.0,4.1,0.0,16.97,13.1,112.0
2022-01-02 08:00:00,1.05,3.5,9.0,26.0,71.0,14.0,4.8,0.0,14.54,9.4,116.0
2022-01-02 09:00:00,1.1,6.6,12.7,22.0,86.0,17.0,7.0,0.12,12.43,10.1,104.0
2022-01-02 10:00:00,1.12,8.2,11.2,22.0,93.0,16.0,7.9,0.28,10.76,12.6,109.0
2022-01-02 11:00:00,1.09,9.3,9.6,22.0,85.0,14.0,7.8,0.42,10.0,11.9,110.0
2022-01-02 12:00:00,1.11,8.9,9.9,24.0,68.0,15.0,7.4,0.51,11.2,9.7,104.0
2022-01-02 13:00:00,1.12,8.2,10.3,26.0,82.0,14.0,6.6,0.55,12.13,9.8,93.0
2022-01-02 14:00:00,1.14,8.3,9.5,29.0,67.0,14.0,5.9,0.53,12.69,11.9,101.0
2022-01-02 15:00:00,1.14,6.7,9.7,32.0,62.0,13.0,4.8,0.46,13.39,11.0,101.0
2022-01-02 16:00:00,1.16,7.3,11.1,31.0,49.0,12.0,5.5,0.35,13.51,11.1,97.0
2022-01-02 17:00:00,1.16,5.9,11.9,29.0,50.0,13.0,6.8,0.18,12.79,10.8,110.0
2022-01-02 18:00:00,1.17,4.6,14.1,26.0,47.0,12.0,6.5,0.01,11.36,11.3,114.0
2022-01-02 19:00:00,1.2,4.2,15.6,24.0,49.0,13.0,5.3,0.0,10.53,11.9,120.0
2022-01-02 20:00:00,1.24,4.4,19.2,20.0,51.0,14.0,5.9,0.0,9.78,12.2,125.0
2022-01-02 21:00:00,1.21,4.7,19.1,21.0,52.0,11.0,6.5,0.0,8.72,10.5,112.0
2022-01-02 22:00:00,1.22,5.0,20.4,20.0,42.0,13.0,7.9,0.0,8.43,9.2,125.0
2022-01-02 23:00:00,1.24,5.5,22.2,19.0,38.0,12.0,6.1,0.0,7.86,7.2,106.0
2022-01-03 00:00:00,1.19,3.7,18.0,21.0,38.0,10.0,5.4,0.0,7.33,2.6,153.0
2022-01-03 01:00:00,1.15,3.3,14.5,24.0,35.0,9.0,5.3,0.0,7.54,7.1,149.0
2022-01-03 02:00:00,1.05,2.9,6.7,31.0,38.0,7.0,3.4,0.0,6.98,7.7,124.0
2022-01-03 03:00:00,1.03,2.7,5.3,32.0,29.0,6.0,3.2,0.0,6.38,7.4,132.0
2022-01-03 04:00:00,1.02,2.6,4.7,31.0,27.0,6.0,3.1,0.0,5.7,4.3,131.0
2022-01-03 05:00:00,1.12,3.3,17.5,15.0,22.0,11.0,3.8,0.0,4.76,2.4,344.0
2022-01-03 06:00:00,1.25,12.6,27.5,5.0,38.0,16.0,4.9,0.0,4.45,4.9,308.0
2022-01-03 07:00:00,1.39,34.8,32.0,4.0,42.0,16.0,8.9,0.0,4.41,3.8,328.0
2022-01-03 08:00:00,2.13,131.8,34.7,4.0,57.0,38.0,8.3,0.0,3.79,3.1,351.0
2022-01-03 09:00:00,1.71,64.3,32.8,8.0,128.0,29.0,12.8,0.13,6.13,2.1,292.0
2022-01-03 10:00:00,1.46,25.4,27.9,17.0,76.0,20.0,7.0,0.28,8.36,2.5,68.0
2022-01-03 11:00:00,1.41,21.5,24.2,22.0,58.0,18.0,4.4,0.42,9.54,3.1,74.0
2022-01-03 12:00:00,1.3,15.6,16.3,28.0,41.0,13.0,4.2,0.51,10.3,7.8,107.0
2022-01-03 13:00:00,1.24,12.6,17.2,32.0,41.0,15.0,5.6,0.55,11.02,9.6,105.0
2022-01-03 14:00:00,1.21,9.8,14.7,36.0,41.0,13.0,4.9,0.53,11.84,8.7,108.0
2022-01-03 15:00:00,1.2,7.6,13.5,38.0,40.0,13.0,4.6,0.46,12.92,9.0,115.0
2022-01-03 16:00:00,1.18,6.9,13.4,39.0,39.0,12.0,4.1,0.34,13.78,10.8,102.0
2022-01-03 17:00:00,1.18,7.1,13.8,38.0,34.0,11.0,3.9,0.18,13.72,11.6,93.0
